nr,page_start,page_end,filename
1,7,11,0001_Table 301.1.1001.1_ Summary of Baseline Demographics - Full Analysis Set.xlsx
2,12,15,0002_Table 301.1.1001.3_ Summary of Primary Diagnosis - Full Analysis Set.xlsx
3,16,43,0003_Table 301.1.1001.4_ Summary of Medical History by SOC_PT - Full Analysis Set.xlsx
4,45,45,0004_Table 301.1.1002.1.1_ Summary of Overall Survival - Full Analysis Set.xlsx
5,46,46,0005_Table 301.1.1002.1.2_ Type of Events and Censoring of Overall Survival - Full Analysis Set.xlsx
6,47,48,0006_Table 301.1.1002.1.3_ Summary of Overall Survival by Subgroups - Full Analysis Set.xlsx
7,52,52,0007_Table 301.1.1002.2.1_ Summary of Progression-Free Survival (IRC) - Full Analysis Set.xlsx
8,53,53,0008_Table 301.1.1002.2.2_ Type of Events and Censoring of Progression-Free Survival (IRC) - Full Analysis Set.xlsx
9,54,55,0009_Table 301.1.1002.2.3_ Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set.xlsx
10,56,56,0010_Table 301.1.1002.3.1_ Summary of Progression-Free Survival (INV) - Full Analysis Set.xlsx
11,57,57,0011_Table 301.1.1002.3.2_ Type of Events and Censoring of Progression-Free Survival (INV) - Full Analysis Set.xlsx
12,58,59,0012_Table 301.1.1002.3.3_ Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set.xlsx
13,72,74,0013_Table 301.1.3001.1_ EORTC QLQ-C30 - Completion Status - Full Analysis Set.xlsx
14,75,77,0014_Table 301.1.3001.5_ EORTC QLQ-C30 - Completion Status of Global Health Status - Full Analysis Set.xlsx
15,78,80,0015_Table 301.1.3001.6_ EORTC QLQ-C30 - Completion Status of Physical Functioning - Full Analysis Set.xlsx
16,81,83,0016_Table 301.1.3001.7_ EORTC QLQ-C30 - Completion Status of Role Functioning - Full Analysis Set.xlsx
17,84,86,0017_Table 301.1.3001.8_ EORTC QLQ-C30 - Completion Status of Emotional Functioning - Full Analysis Set.xlsx
18,87,89,0018_Table 301.1.3001.9_ EORTC QLQ-C30 - Completion Status of Cognitive Functioning - Full Analysis Set.xlsx
19,90,92,0019_Table 301.1.3001.10_ EORTC QLQ-C30 - Completion Status of Social Functioning - Full Analysis Set.xlsx
20,93,95,0020_Table 301.1.3001.11_ EORTC QLQ-C30 - Completion Status of Fatigue - Full Analysis Set.xlsx
21,96,98,0021_Table 301.1.3001.12_ EORTC QLQ-C30 - Completion Status of Nausea and Vomiting - Full Analysis Set.xlsx
22,99,101,0022_Table 301.1.3001.13_ EORTC QLQ-C30 - Completion Status of Pain - Full Analysis Set.xlsx
23,102,104,0023_Table 301.1.3001.14_ EORTC QLQ-C30 - Completion Status of Dyspnoea - Full Analysis Set.xlsx
24,105,107,0024_Table 301.1.3001.15_ EORTC QLQ-C30 - Completion Status of Insomnia - Full Analysis Set.xlsx
25,108,110,0025_Table 301.1.3001.16_ EORTC QLQ-C30 - Completion Status of Appetite Loss - Full Analysis Set.xlsx
26,111,113,0026_Table 301.1.3001.17_ EORTC QLQ-C30 - Completion Status of Constipation - Full Analysis Set.xlsx
27,114,116,0027_Table 301.1.3001.18_ EORTC QLQ-C30 - Completion Status of Diarrhoea - Full Analysis Set.xlsx
28,117,119,0028_Table 301.1.3001.19_ EORTC QLQ-C30 - Completion Status of Financial Difficulties - Full Analysis Set.xlsx
29,121,124,0029_Table 301.1.3002.5_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Global Health Status - Full Analysis Set.xlsx
30,125,128,0030_Table 301.1.3002.6_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Physical Functioning - Full Analysis Set.xlsx
31,129,132,0031_Table 301.1.3002.7_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Role Functioning - Full Analysis Set.xlsx
32,133,136,0032_Table 301.1.3002.8_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Emotional Functioning - Full Analysis Set.xlsx
33,137,140,0033_Table 301.1.3002.9_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Cognitive Functioning - Full Analysis Set.xlsx
34,141,144,0034_Table 301.1.3002.10_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Social Functioning - Full Analysis Set.xlsx
35,145,148,0035_Table 301.1.3002.11_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Fatigue - Full Analysis Set.xlsx
36,149,154,0036_Table 301.1.3002.11.2_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Fatigue by Sex - Full Analysis Set.xlsx
37,155,158,0037_Table 301.1.3002.12_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Nausea and Vomiting - Full Analysis Set.xlsx
38,159,162,0038_Table 301.1.3002.13_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Pain - Full Analysis Set.xlsx
39,163,168,0039_Table 301.1.3002.13.3_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Pain by Region - Full Analysis Set.xlsx
40,169,172,0040_Table 301.1.3002.14_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Dyspnoea - Full Analysis Set.xlsx
41,173,176,0041_Table 301.1.3002.15_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Insomnia - Full Analysis Set.xlsx
42,177,180,0042_Table 301.1.3002.16_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Appetite Loss - Full Analysis Set.xlsx
43,181,184,0043_Table 301.1.3002.17_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Constipation - Full Analysis Set.xlsx
44,185,188,0044_Table 301.1.3002.18_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Diarrhoea - Full Analysis Set.xlsx
45,189,194,0045_Table 301.1.3002.18.1_ EORTC QLQ-C30 - Observed Means and Change from Baseline of Diarrhoea by Age Group 1 - Full Analysis Set.xlsx
