title,table_number,domain,endpoint_short,category,subgroup_values,interaction_p
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Age Group 1,"<=65 years, >65 years",0.9663
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Age Group 2,"<=75 years, >75 years",0.166
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Sex,"Male, Female",0.7817
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Race,"White, Asian",0.055
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Tobacco History,"Current, Former, Never",0.6629
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Region,"Asia, Non-Asia",0.5099
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Number of Organs with Metastatic Sites,"0-2, >=3",0.5739
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Prior Gastrectomy (total or partial),"Yes, No",0.1607
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Histology (Tumor Type),"Diffuse, Intestinal, Mixed/Other",0.2257
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Tumor Location 1,"Gastric, GEJ",0.0766
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Tumor Location 2,"Gastric Proximal, Gastric Distal",0.7157
Table 301.1.1002.1.3: Summary of Overall Survival by Subgroups - Full Analysis Set,1002,Efficacy,OS,Tumor Location 3,"GEJ Proximal, GEJ Distal",0.0841
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Age Group 1,"<=65 years, >65 years",0.6914
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Age Group 2,"<=75 years, >75 years",0.7321
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Sex,"Male, Female",0.6583
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Race,"White, Asian",0.0351
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Tobacco History,"Current, Former, Never",0.7503
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Region,"Asia, Non-Asia",0.1064
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Number of Organs with Metastatic Sites,"0-2, >=3",0.6418
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Prior Gastrectomy (total or partial),"Yes, No",0.2535
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Histology (Tumor Type),"Diffuse, Intestinal, Mixed/Other",0.1756
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Tumor Location 1,"Gastric, GEJ",0.1478
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Tumor Location 2,"Gastric Proximal, Gastric Distal",0.2419
Table 301.1.1002.2.3: Summary of Progression-Free Survival (IRC) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – IRC,Tumor Location 3,"GEJ Proximal, GEJ Distal",0.0145
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Age Group 1,"<=65 years, >65 years",0.2246
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Age Group 2,"<=75 years, >75 years",0.7667
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Sex,"Male, Female",0.994
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Race,"White, Asian",0.0076
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Tobacco History,"Current, Former, Never",0.9311
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Region,"Asia, Non-Asia",0.0631
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Number of Organs with Metastatic Sites,"0-2, >=3",0.5801
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Prior Gastrectomy (total or partial),"Yes, No",0.2521
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Histology (Tumor Type),"Diffuse, Intestinal, Mixed/Other",0.1594
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Tumor Location 1,"Gastric, GEJ",0.5492
Table 301.1.1002.3.3: Summary of Progression-Free Survival (INV) by Subgroups - Full Analysis Set,1002,Efficacy,PFS – INV,Tumor Location 2,"Gastric Proximal, Gastric Distal",0.4207
